,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
103,Dan Butler,eng ENG,DF,Stevenage,29,1994,32,28,"2,510",27.9,0,0,0,0,0,0,7,0,0,0,0,0,0,Matches
104,David Button,eng ENG,GK,Reading,35,1989,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Bailey-Tye Cadamarteri,jm JAM,FW,Lincoln City,19,2005,23,13,"1,122",12.5,5,0,5,5,0,0,1,0,0.4,0,0.4,0.4,0.4,Matches
106,Mamadi Camará,gw GNB,FW,Reading,20,2003,33,19,"1,623",18,3,2,5,3,0,0,3,0,0.17,0.11,0.28,0.17,0.28,Matches
107,Panutche Camará,gw GNB,MF,Crawley Town,27,1997,42,28,"2,558",28.4,4,4,8,4,0,0,7,0,0.14,0.14,0.28,0.14,0.28,Matches
108,Allan Campbell,sct SCO,MF,Charlton Athletic,26,1998,12,6,552,6.1,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
109,Chem Campbell,wls WAL,FW,Reading,21,2002,39,36,"3,038",33.8,5,2,7,5,0,0,3,0,0.15,0.06,0.21,0.15,0.21,Matches
110,Tyreece Campbell,jm JAM,"MF,FW",Charlton Athletic,20,2003,44,37,"3,267",36.3,7,1,8,7,0,0,5,0,0.19,0.03,0.22,0.19,0.22,Matches
111,Callum Camps,nir NIR,MF,Stockport,28,1995,27,19,"1,742",19.4,1,2,3,1,0,0,6,0,0.05,0.1,0.15,0.05,0.15,Matches
112,Andy Cannon,eng ENG,MF,Wrexham,28,1996,24,17,"1,357",15.1,2,0,2,2,0,0,5,0,0.13,0,0.13,0.13,0.13,Matches
113,Mustapha Carayol,gm GAM,MF,Exeter City,35,1988,6,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Sonny Carey,eng ENG,MF,Blackpool,23,2001,33,23,"2,095",23.3,8,0,8,7,1,1,3,0,0.34,0,0.34,0.3,0.3,Matches
115,Baily Cargill,eng ENG,DF,Mansfield Town,29,1995,34,34,"2,679",29.8,1,1,2,1,0,0,13,0,0.03,0.03,0.07,0.03,0.07,Matches
116,James Carragher,mt MLT,DF,Wigan Athletic,21,2002,33,26,"2,273",25.3,2,1,3,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Matches
117,Tom Carroll,eng ENG,MF,Reading,32,1992,9,0,74,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
118,Oliver Casey,eng ENG,DF,Blackpool,23,2000,43,43,"3,814",42.4,3,1,4,3,0,0,6,0,0.07,0.02,0.09,0.07,0.09,Matches
119,Leo Castledine,eng ENG,MF,Shrewsbury Town,18,2005,23,18,"1,444",16,2,0,2,2,0,0,4,0,0.12,0,0.12,0.12,0.12,Matches
120,Joel Castro Pereira,pt POR,GK,Reading,28,1996,40,40,"3,600",40,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
121,Luke Chambers,eng ENG,DF,Wigan Athletic,20,2004,12,12,986,11,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches
122,Andre Changunda,,FW,Peterborough United,,,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Jacob Chapman,au AUS,GK,Huddersfield Town,23,2000,23,23,"2,070",23,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
124,Dion Charles,nir NIR,FW,Bolton Wanderers,28,1995,24,15,"1,278",14.2,7,3,10,5,2,3,1,0,0.49,0.21,0.7,0.35,0.56,Matches
125,Dion Charles,nir NIR,FW,Huddersfield Town,28,1995,18,13,"1,135",12.6,0,2,2,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Kgagelo Chauke,eng ENG,MF,Burton Albion,21,2003,38,32,"2,829",31.4,1,0,1,1,0,0,3,0,0.03,0,0.03,0.03,0.03,Matches
127,Tawanda Chirewa,zw ZIM,MF,Huddersfield Town,20,2003,13,8,575,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Samy Chouchane,tn TUN,MF,Northampton Town,20,2003,22,17,"1,357",15.1,0,2,2,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
129,Sean Clare,eng ENG,"MF,DF",Leyton Orient,27,1996,29,19,"1,719",19.1,3,2,5,3,0,0,2,0,0.16,0.1,0.26,0.16,0.26,Matches
130,Jonson Clarke-Harris,jm JAM,FW,Rotherham United,30,1994,29,19,"1,722",19.1,7,1,8,4,3,3,2,0,0.37,0.05,0.42,0.21,0.26,Matches
131,Max Cleworth,wls WAL,DF,Wrexham,21,2002,42,42,"3,777",42,7,2,9,7,0,0,3,0,0.17,0.05,0.21,0.17,0.21,Matches
132,Sam Clucas,eng ENG,MF,Lincoln City,33,1990,8,2,233,2.6,1,0,1,1,0,0,1,0,0.39,0,0.39,0.39,0.39,Matches
133,Alex Cochrane,eng ENG,DF,Birmingham City,24,2000,42,41,"3,598",40,1,2,3,1,0,0,5,0,0.03,0.05,0.08,0.03,0.08,Matches
134,Josh Cogley,eng ENG,"MF,DF",Bolton Wanderers,28,1996,42,37,"3,056",34,1,7,8,1,0,0,7,1,0.03,0.21,0.24,0.03,0.24,Matches
135,Reece Cole,eng ENG,MF,Exeter City,26,1998,22,8,957,10.6,3,1,4,3,0,0,4,0,0.28,0.09,0.38,0.28,0.38,Matches
136,Will Collar,eng ENG,MF,Stockport,27,1997,40,36,"3,140",34.9,8,2,10,7,1,1,3,0,0.23,0.06,0.29,0.2,0.26,Matches
137,Aaron Collins,wls WAL,"FW,MF",Bolton Wanderers,27,1997,45,36,"3,215",35.7,12,4,16,12,0,0,4,0,0.34,0.11,0.45,0.34,0.45,Matches
138,Archie Collins,eng ENG,MF,Peterborough United,24,1999,40,40,"3,284",36.5,1,2,3,1,0,1,7,0,0.03,0.05,0.08,0.03,0.08,Matches
139,James Collins,ie IRL,FW,Lincoln City,33,1990,20,14,"1,296",14.4,10,0,10,9,1,2,2,0,0.69,0,0.69,0.62,0.62,Matches
140,Joel Colwill,wls WAL,"MF,FW",Exeter City,19,2004,18,9,988,11,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
141,Chris Conn-Clarke,nir NIR,MF,Peterborough United,22,2001,23,12,"1,095",12.2,1,3,4,1,0,0,1,0,0.08,0.25,0.33,0.08,0.33,Matches
142,Luca Connell,ie IRL,MF,Barnsley,23,2001,41,37,"3,189",35.4,2,4,6,2,0,0,13,0,0.06,0.11,0.17,0.06,0.17,Matches
143,Callum Connolly,eng ENG,DF,Stockport,26,1997,38,29,"2,647",29.4,1,2,3,1,0,0,6,1,0.03,0.07,0.1,0.03,0.1,Matches
144,Dion Conroy,eng ENG,DF,Crawley Town,28,1995,21,21,"1,835",20.4,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
145,Kamil Conteh,sl SLE,MF,Bristol Rovers,21,2002,19,18,"1,607",17.9,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
146,Brandon Cooper,wls WAL,DF,Leyton Orient,24,2000,30,16,"1,627",18.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
147,Jack Cooper Love,se SWE,"MF,FW",Burton Albion,22,2001,14,6,686,7.6,2,0,2,2,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
148,Murphy Cooper,eng ENG,GK,Stevenage,22,2001,37,37,"3,330",37,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
149,Sam Cosgrove,eng ENG,FW,Barnsley,27,1996,19,8,824,9.2,1,2,3,1,0,0,3,0,0.11,0.22,0.33,0.11,0.33,Matches
150,Sam Cosgrove,eng ENG,FW,Stockport,27,1996,7,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Dara Costelloe,ie IRL,FW,Northampton Town,21,2002,15,14,"1,250",13.9,6,0,6,5,1,1,2,0,0.43,0,0.43,0.36,0.36,Matches
