"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
470;"Abdoulie Ceesay";"St. Pauli";7;45;0;0;0;0;0;0.02;0.02;0;0;0;0.03;0.03;0.03;0.03;0
471;"John Tolkin";"Holstein Kiel";10;655;0;0;1;0.03;0.03;0.67;3.2;2.97;0;0;0.09;0.1;0.1;0.44;0.41
472;"David Preu";"Union Berlin";5;113;0;0;0;0.11;0.11;0;0.17;0.07;0.09;0.09;0;0.09;0.09;0.14;0.05
473;"Hennes Behrens";"Hoffenheim";1;24;0;0;0;0;0;0;0.06;0.06;0;0;0;0;0;0.23;0.23
474;"Luca Jaquez";"VfB Stuttgart";5;250;0;0;0;0.12;0.12;0;3.38;3.38;0.04;0.04;0;0.04;0.04;1.22;1.22
475;"Finn Jeltsch";"VfB Stuttgart";12;774;0;0;0;0.08;0.08;0.12;3.33;3.3;0.01;0.01;0.01;0.02;0.02;0.39;0.38
476;"Bazoumana Touré";"Hoffenheim";13;614;0;0;3;1.83;1.83;1.74;3.97;0.74;0.27;0.27;0.26;0.52;0.52;0.58;0.11
477;"Julian Niehues";"FC Heidenheim";8;135;0;0;0;0.15;0.15;0.13;1.32;1.11;0.1;0.1;0.08;0.18;0.18;0.88;0.74
478;"Tidiam Gomis";"RasenBallsport Leipzig";8;135;0;0;1;0.36;0.36;0.91;1.81;0.65;0.24;0.24;0.61;0.84;0.84;1.21;0.43
479;"Ivan Nekic";"Holstein Kiel";1;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
480;"Tiago Pereira Cardoso";"Borussia M.Gladbach";5;376;0;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0.06;0.06
481;"Kacper Koscierski";"Bochum";1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
